document,label
절라남도 벌레?,0
부산에서 학식먹었는데 mt 동기mt 동아리mt 단한번도 해운대 안감 부산 현지인들이 다른데가야한다해서 안감 존나 더러운거 아니깐 ㅋㅋ,0
쌍도 여혐끝판왕의성지,0
제목보고 전라도 직감,0
홍어지 병신아 ㅋㅋㅋ,0
홍어짓인듯...,0
어휴 전라도 사투리컨셉잡고 노는새끼들이ㅋㅋㅋㅋㅋㅋㅋ전라도사투리 나왔다고 전라도면ㅋㅋㅋㅋㅋㅋㅋㅋㅋ여기 있는새끼들 절반이 홍어냐?,0
호남2중대 ㅁㅈㅎ,0
시발 경상도새끼들 작작해라경기도 밑으로 분리독립 시키면 안되나,0
머구놈들 정의로운척 쩌네,0
이거 일베충반 홍어반이 아니라 홍어가 철이네 철이야ㅋㅋㅋㅋㅋㅋㅋ 물보다 홍어가 많노 이기이기,0
하여간 우덜식이노우덜이니 씨발,0
지가 전라도면서,0
전라도색기들은 말하는게 참........... 이상해............ ;;;;;;;;;;;;,0
마 시팔 당당하게 윤보선하고 선거해서... 고무신 받은 전라도 몰표받고 당선됐다 이기야!!!! 유신 전까지는 민주성과 관련해서 하자가 없었음.,0
홍어새끼들 개좆같음,0
강라디언이 또..,0
죽은 홍어도 존나 개새끼다 시발,0
시체도 강간하는 경상도보단..,0
홍들홍들ㅋㅋ홍어샊히들 존나많네,0
부산 ㅁㅈㅎ 좆병신들 가면 조또 할것도 없고,0
멍청도식 오랜만이노 이기,0
조만간 전라도에서 최연소 기록 갱신한다,0
전라도 기자넘은 기사에 내용도 없고 제놈도 무슨 말 하는지 모를고 선동만 절라 해댐,0
전라도? 끄덕끄덕 .. 대체 얼마나 날림공사를 한거냐 시팔 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
경상도 여자들 자기가 속아서 문재인찍어놓은게 열받아서 저렇게 글쓰는듯전부 출세한 사람들 전라도 사람들,0
문재인 지지율은 이미 전국 75%~80%인 상황이라 다 잘한다고 박수치고 있는데 통베충들만 왕따 중 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ반면 씹그네 지지율은 10%대 아래로 폭락한 상황에서도 대구경북에서는 잘하고 있다고 60%이상이 지지함. 누가 진짜 또라이인지!?!?,0
나머지>>>>>>씹넘사>>>>>병신허세+부심좆되는 쌍도>>>>통수홍어ㅇㄱㄹㅇ ㅂㅂㅂㄱ,0
전라도 사람들이 머리좋고 영리하긴 하더라경상도놈들 무식한건 전국민이 다 알고,0
슨상고향 ㅁㅈㅎ ㅋㅋ,0
캬 전라도를 통수,0
김보름 마녀사냥 보면 알수있지...특히 심한곳은 전라도종특,0
"600명의 광수를 찾읍시다. 광수야. 어디서 사니? 어디로 갔니? 광주에서 사니? 호남에서 사니? 남한에서 사니? 살았니? 죽었니? 광수야. 너가 나타나야. 이 나라가 평온해 진단다. 39년이 흘렀는데, 찾았는데. 죽었니? 살았니? 죽었다면, 유족은 어디에 사니? 600명 광수는. 5.18 유공자란다. 5.18에 왔다가 어디로 갔니. 남한에서 사니? 북한에서 사니? 600명의 광수는 어디로 갔을까?",0
ㅋㅋㅋㅋ맞노 쌍도남들 재기해라,0
홍어급 피해망상,0
이게 강호의 도리다전라도 홍어들과 차이점임,0
양비론 펼치지마라 6 25때 더 남쪽인데도 홍어만 빨갱이 한테 넘어간점 경부고속 산업화 다반대하다 나라가 자리 잡자 김치녀 처럼 숟가락 들이미는 점지금은 나라다 망해가는데 지들이익 때문에 문재인 지지하는점 호남향우회 카르텔로 선량한 2030일자리 뺏은점홍어는 박멸이 답이고 불매가 답이야,0
아우 언제부터 쌍도까면 홍어가 됐냐? 밑에지방새끼들 하여간 개병신같다 그냥 홍어랑 쌍도랑 따로 나라차려서 꺼져라,0
머구는 지하철 광고도 참,0
"아 진짜 하프 쌍돈데.. 너네 이러는거 안 쪽팔리냐?? 우리 아빠는 차 충돌사고 났었는데 같은 쌍도라고 봐 줬다가 계속 후유증으로 고생한다.. 진짜 같은 고향이면 이해를 하는데 무작정 전라도라고, 경상도라고 너무 띄워주는거 아니냐? 경기도 사는 사람중에 김연아가 군포 출신이라고 경기도민 전체가 김연아 빨진 않어,, 군포시민이면 또 모를까.. 암튼 너네도 좀 자제해라 전라도랑 다를게 없음 하는 짓은",0
사람패죽이고싶으면 라도에가면되는고만~~ 1년6개월이면 군대보다 짧네,0
솔직히 지역감정 일으키고 열등감 느끼는건 대구경북이지.전라도애들은 인구 절반 빠진거 봐서서울시민이 30%이상일텐데전라도사람들 서울에서 자리잡을때 뭐했노?쿠데타 독재 지역주의에만 의존했지노력을 생각을 안해노? 어떻게 지역소득 꼴찌냐? 최저임금도 안주고?,0
개쌍도? 끄덕끄덕,0
친가 경기도 외가 멍청도인데 전라도라는 말뒤에 항상 개새끼들이 붙는다.그 절라도오~ 개쌕들~,0
그래서 진주가 어디냐전라도냐 경상도냐진주 시발 ㅋㅋㅋㅋ 들어본적도 없다,0
홍어 까발리는글은 ㅇㅂ,0
가끔이런글에 충청도가 더한다는 애들이있는데 저거 빗말은 아니다...충청도에서 23년 살았는데 80퍼는 진짜 착하고 20퍼는 악질이라 보면 된다...내가보기엔 이 20퍼들은 대부분 홍어나 하프홍어 일거다.. 착한 충청도인 등처먹으러온애들이 분명하다 홍어시키들ㅅㅂ,0
ㅋㅋ. 전라도 아줌씨의 무식함 ㅋ,0
일단 여기까지 확인된~30인 전라도 홍어새끼들 ㅋㅋ,0
정모씨외 123명= 조또 할짓없는 라도쌍도 종자들.. 그러니까 씨발넘들아 표준어랑 거의 비슷한 감자국언어를 익히란말이야,0
전라도새기들 이번사건 관심도없더라ㅋㅋ나보고 지랄한다 허위사실퍼오지마라고,0
머구는 애초에 최저시급주지도않으면서 ㅋㅋ,0
전라도새끼들은 전멸시키는게 답,0
일베에서 라도부심소리까지 나오냐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 그게 아니지,0
서울말써라 둘다 외국어잖아,0
홍어를 싸그리 정리해야함,0
"이유는 전라도vs다수 의 싸움에서 다수의 대장을 쌍도라판단 해서임. 상징성,정통성을 가진 쌍도를 우두머리라 인식 공격하는거임. 결국 쌍도가 무너지면 영향력 없는 타지역들은 저절로 복속된다는걸 본능적으로 알기 때문임. 이건 뭐 거의 정신병자 수준인데? ㅋㅋㅋㅋ",0
ㅋㅋㅋ전라도글에 대구라고하면 피꺼솟하는게이들 반응좀해주지마라ㅋㅋㅋㅋ,0
나련 아는 목포남도 입에서 바다비린내 나던데 후팔 아가리 꼬매고 싶었노,0
홍어 씹쌔끼 몇마리 벌써 풀발기하고 가만히 있는 경상도 건드리네 ㅋㅋ,0
설라디언 : 억양 전라도화 되어 전라도사람이 표준어만 쓰면 구별못함.,0
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ제발 사투리쓰는새끼들 서울에오지마라 좆미개 ^오^ ....ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
라도식 밥상머리 교육ㅇㅂ,0
글쓴 새끼 홍어 대깨문,0
탈홍어 애국보수 김관진장세동과 버금가는 탈홍어의 예,0
"정말 개쓰래기 더 쓰래기 가튼건 그짝 주민왈 ""젊은 사람들이 술마시고 그럴수도있쟈""아휴 내입이더러워진다",0
8번 대중공간에서 시끄럽게 떠들고 통화큰소리로하기.....어라???.... 이거 개쌍도새끼들 특징 아님???ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
전남에 양심가게가 3개뿌이고 ㅋㅋ,0
전라도유전자 518% 섞임,0
ㄹㅇ 씨바새끼들 특징이더라첨본 사람인데도 어 이새끼 말좀 통하네? 싶으면 홍어더라첨엔 상대방 듣기 좋은말만 해줌 ㅋㅋ거기에 속는거다그러다 친해지면 좆되는거다변사체됨,0
저새끼 살인저지른것만 보면 그짝놈이라해도 이상할게 없어보임,0
ㅁㅈㅎ홍어찌릉내 오질나구연~~~~~~~~~~~~~~~^^,0
씨발 대구 동구는 ㄹㅇ 사람 살 곳이 못된다 전투기 소음때문에 사람 노이로제 걸림. 집값 싸도 사람들이 동구로 이사 안 오는 이유가 다 있음,0
전라도는 준법정신이 없다고 보면된다아 물론 난 전라도 사람이다,0
광주사태 희생자 <200명^^김대중정권 자살자 한해1만8천명^^,0
ㅅㅂ 대구도 홍어 멀티구만 지들은 ㅈㄴ다른척 하고 있었네,0
경남 답다...,0
홍어끼리 모이는것도 똑같네,0
쌍부심ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
ㄹㅇ 동급인 촌놈새끼들끼리 싸우긴 왜 싸워,0
성자썰 올리던 웜련인데 안터지는게 이상했노^^ 그동네는 노콘 안해주면 술값안낸다 내상^^이다 좆지랄나는 동네노 삿스가 쌍도남,0
쌍도나 라도나 표준어 안 써서 ㅁㅈㅎ,0
아내가 대전이 고향이라던 여수출신 고향세탁홍어에게뒤통수 쳐맞고인생망가진 빙신이다.,0
?? 전라도 애들 인터넷 안하는거 같던데?지가 전라도라는 새끼들 아예 없잖아. 경상도랑 서울밖에 안보이는구만,0
광주 자택서 검거,0
역시 개쌍도라서 그런지 뇌가 온전하지 못한 새끼들이 많음,0
일베가 졌다... 세월호 사망자 어묵이랑 광주 시체 사진 홍어제철로도 비빌수가 없다 어묵하고 시체홍어 까지만해도 일베가 1순위라고 생각했는데.. 행동하는 년들은 이길수가 없다 비빌라면 단원고 가서 어묵의 후예들은 운지하라고 시위하거나 해야된다..,0
개쌍도 최고 아웃풋 ㅋㅋㅋㅋㅋ,0
경상도 욕하는새끼들중에 서울새끼들은 자격없다 설라디언이 대부분에 박원순뽑은 멍청한 개좆병신새끼드림,0
전라도사는 1퍼셎트는 정치얘기 속으로만 삭히고있겠네 ㅋㅋㅋㅋㅋㅋ,0
광주 전남.. 열차타고 .. 김대중 가는날..,0
"전라도 깽깽이녀"" 입만 열면 거짓말에 모함 전라도는 과학이다.",0
홍어도 거른다는거지,0
경상도친구있는데 친해지기쉬움전라도친구있는데 아직까지통수안당함특수한케이스냐?,0
"수도권인구 2500만중 약40%가 전라도출신 또는2.3세들 입니다.그기에 동화된 20~40대 젊은유권자들 때문에 나라및 市정이 엉망으로 돌아가도 아무도 모르고 있었다는게 개탄스럽습니다. 국방 외교 경제 최소20년 후퇴됬습니다. 국민분열 좌우분열 세대분열, 이젠 불신이 극에달하고 아무리 나쁜짓을 해도 내편은 감싸고 도는 정치행태...휴",0
쌍도 새끼들 돌았네,0
개쌍도도 조져야함 ㅋㅋ 홍어 개쌍도 둘다 땅크로 밀어버리자,0
역시 의리와인물들이 많이나는 갓상도. 한국하면 갓상도아이겠盧?,0
요즘 충청도도 북홍어라 불림,0
일베가 쌍도를 까는 날이 오네 ㅋㅋㅋㅋ나 쌍도아닌데 이제 일베가 망할때가 왓다 ㄹㅇ유입존나많고 원래있던 멤버들 빠져나가고 고렙 숨어있는 통베충들도 슬슬 고개를 드네,0
쌍도새끼들 오늘하루종일 쉐도우복싱잼,0
홍어는 과학이랑께,0
저열한 전라도 패거리들...저러니 전국 왕따 당하지..,0
홍어스포머보소~~~,0
쌍도 역적의 고장,0
광주비엔날레에서 닥ㅈㅎ,0
그냥 노예통구이새끼들이라서 그런거임,0
역씨 개쌍도 똥푸산 견찰이 하면 제대로 하는게없음보지 진급이나 시킬줄 알지,0
전라도 제대로 털면 ㄹㅇ 간첩들넘쳐날듯,0
진짜 상상만 해도 극혐이다 ㅅㅂ전라도 씨발새끼들은 대체 염치라는게 없냐?,0
전라발찌시급ㅅㅂ,0
전라도 경상도새끼들 존나시끄럽다서울에살고 조상님도. 서울에사셨다미개한 경상전라 새끼들 짜져살어라 냄새난다,0
통궈 새끼들 유입드립 지리네 그냥 홍통일체지 씨발 뭐만하면 홍어유입이라고 핑계오지네,0
설라도 수준보소ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
솔직히 설리 까는 애들은 어디 사이트를 불문하고 다 홍어 아니냐? 그 특유의 전형적인 시기심 투쟁 승리 뭐 그런거 말이다 빨갱이 버릇말이다,0
고담시 대구 존나 시끄럽고 나대는새끼들 많은곳이 대구 아니노,0
명불허전 사스가 광주,0
아버지가예전 유머1번지 매기 병장 닮았노암튼 홍어 혐오는 ㅇㅂ,0
강원도 사람이니까 일베 아니네 휴~,0
노잼떡밥이 시작됨으로써 통베가 개좆노잼이되고동접수는 급격히 떨어지고 짤게는병신글로 넘치며홍어들도 성공했다며 오유로돌아가고 통베는망하는데,0
무슨 이유로 민주당이 호남을 차별한다고 생각하나요?? 메모들의 단점은 팩트가 없는 것입니다. 역시 메모,0
내로남불 정권이 내로남불 하는 게 무'슨' 문제 '라도'?,0
전라도 검은색버전,0
어딘지 모르게 서울외에는 다 미개해 보이네 ~,0
호남향우회 사무실에 지발로 찾아가놓고 십자가 있다고 교회인 줄 알았나보네. 착각과 무지는 ㅁㅈㅎ 막줄 마인드 보니까 쌍도라도 남들 전라도 동급으로 보는 그런 경북 삼천 오지 출신인듯......,0
서울 ㅂㅅ새끼들 지들이 서울토박인줄 착각하는데 거기에 절반넘게 설라도야 븅신아 서울시장만봐도 보수아니고 민주당인거보면 니 본적까면 설라도니깐 입닫아라,0
전라도 홍어놈년들은 홍어 좋아하더라 냄새 오지는데 미개하긴,0
ㄹㅇ 7시였으면 허브 가져갔겠지,0
경상도것들 조심해라,0
"일베와서 이거 하나만 배워도 인생 반이상 성공한거다""전라도를 피해라""",0
전라도 병신새끼들 ㅉㅉㅉ 부모님한테 나도 물어보니까 절때 지들은 전라도 사람이라고 말 안한다더라 쪽팔려서 ㅋㅋㅋ,0
홍어새끼들아.. 니들이 저사람들 보고 느끼는 감정을 그대로 우리가 느끼고 있다..,0
"전라도 개새끼들이 저런거는 반대해도 성욕이 뇌를 잠식해서 변태 성행위업소, 창녀촌 , 안마방 같은 곳은 좆나 많다",0
촌은 어지간해선 다 그래촌에 별장지으면 돈 꽤나 있는놈이구나 하고 벗겨먹을라함촌사람들 순진하고 착하고 그런거 절때없음,0
광주는전략적으로경상도 사람을 대통령후보로 올렸다.이정도의 전라도 구애 전략도 못견디고욕할 정도면 ㅉㅉㅉ,0
저런 놈이 설칠수 있는건 문재앙 때문이고..문재앙이 저짓 할수있는건 전라도 때문임...ㅇㄱㄹㅇ...,0
으따 우덜식 손님응대랑께,0
씨발 역대급이다 싶음 전라도새끼네 ㅋㅋ,0
홍어쉐리들 .많아졌네,0
포항? 전라 멀티 된지 오래임,0
개쌍도 걸고 넘어지는 라도새끼들도 문제지만설라도 사는 좆도 아닌 부심 부리는 새끼들도 좆같다.박원숭새끼 뽑아놔서 맨날 좆같은 꼴보는게 하루이틀도 아니더라.,0
이건 라도에만 극한 된게 아니라 조센 전체의 상황 아님? 최근 이슈가 되고 있는 사건들 중 버닝 썬 이라던가 정민이 실종사건 ㄱㅊ이 한게 뭐 있냐? 정민이 같은 경우는 시신 마져도 정민이 아버지께서 고용한 분이 찾은 거 잖아 개 빙시리 ㄱㅊ 것들은 꼬챙이 들고 한강주변 땅이나 잰 종일 쳐 질러 찍고 있더라,0
멍청도 새끼들도 싫어서 ㅁㅈㅎ즌라도 다음으로 싫다,0
대구 이사가고싶다. 홍어들이 그나마 없잖아. 나중에 꼭 이사간다,0
대구 새기들평균 수준이다 ㅋㅋㅋㅋ,0
과수나뭇집 사이시옷 존나 억지스럽네 걍 과수나무집으로 발음 하는 걸 굳이 센발음 만들어 홍어스럽게 해야겠냐,0
민주화수 올라가는거 보소 ㅋㅋㅋㅋㅋㅋㅋㅋ 요즘 일베 호남향우회 다 됨 ㅋㅋㅋㅋ전라도 애미애비 뒤진 씹새끼들 특징 = 경상도만 지들 싫어하는줄 착각함. 현실은 전라도 빼고 전라도 다 싫어하는데 ㅋㅋㅋㅋ와 전라도 씹새끼들 공포영화가 따로 없네 ㄷㄷㄷ,0
쌍도투어 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아이고 머준이형,0
딱 전라도 새끼ㅏ들이네,0
쌍도새끼들은 회치는게 기본 패시브 스킬이노? 존나 부럽다이기,0
전라도기떄문에 ^^,0
마법의 단어 '전라도'는 어케 되노,0
홍어도 안친 분향소 통수를 오늘 쌍도에서만 두번을보네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
머구에서 젤 더러운게 영대 카르텔 이새끼들 완전 마피아 수준홍어들처럼 직장내에서도 지들끼리 뭉쳐다니며 파벌만듦,0
쌍도와 라도 흐힛,0
ㅋㅋㅋㅋ 전라도 씨발,0
호남두여경두날강두전라두강간두애널두,0
쌍도남 안 봐도 얼마나 빻았을지 상상이 가노,0
그럼 전라도는 살기위해 더 필사적으로 이재명을 밀겠군일단 달래서 표받고 죽이자,0
쌍도것들 풀발기 ㅋㅋ,0
쌍도좆들 배터트려서 창자로 줄넘기 몇개할수 있는지 시키고 먼저 걸려 넘어진놈부터 총살하고 싶노ㅋㅋㅋ,0
설라도가 이 글을 싫어합니다,0
그 유명한 광주 조씨네 .............ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ,0
전라도애들은 왜 저렇게 다 똑같이 생겼냐 ?? 김연아 + 허1지웅 느낌 나네,0
좆라도 깽깽이들은 탱크가 답ㅋㅋㅋ 미개해서 사람 살 곳이 못 됨 바퀴벌레 소굴,0
전라도에선 일상이지,0
아마 이 댓글에..전라디언 김씨들.. 모두 등판 할것 같은디...,0
개미쳤네 이정도면 전라도 독립 시켜 버려야하는거 아니냐? 이딴식으로 할꺼면,0
서울에서 굶어죽어???ㅋ ㅋㅋㅋ생 또라이같은년이 지방가서 유유자적 일하고 살면되지 꼭 지방 그지 새끼들마냥 되도않는 서울에 츠 기어가서 서울부심 부리고 앉았노 ㅋㅋ 잘뒤짐 캭 퉷~,0
전라도 광주 끄덕끄덕,0
홍어들이 웃기는점 민주화세대가 거의5~6 십대가 되었는데 틀딱이라고하니 자기들마음에 안들면 틀딱이냐?,0
전라도 십새끼들 이를 악물고 경상도 80퍼 얘기하네ㅋㅋ,0
우덜은 자지가 홍어맹기로 펄펄 뛰는디 으쩍헌대요????,0
홍어 경찰이였으면 구조대 올때까졍 쪼까 기다리쇼잉 여러분 진정들 하쇼잉 이짓 했을듯ㅋㅋ,0
대한민국이 선진국이 되려면 살인강간하는 전라도랑 코로나 퍼뜨리는 대구는 국경설치해서 봉쇄해야됨ㄹㅇ나오려는놈은 경고사격없이 조준사격으로 죽여버리고,0
거기에 전라도까지,0
씹탱들아니들은 아무나 호남상 호남상 그랬지?저게 바로 전형적인 전라도 면상이다아무한테나 호남상 타령하지 마라,0
나도 봤어 인터뷰때 쌍도 사투리 쓰는거 보고 급호감^^,0
지역감정 조장은 무조건 ㅇㅂ야..,0
서울자체가 라도 멀티인데 무'슨' 지역감정이 ㅋㅋㅋ,0
2005년인가 광주에서 적발된 부정행위자가 시발 전국 부정행위자 몇년치 합한 것보다 많더라 씨발럼들 ㅋㅋ,0
식탐 성욕이 크지 식당 가서 맛타박 하는거 보면 9할이 라도,0
저 더러운 쌍판떼기 왜 자꾸보이나. 욕나온다. 그리고 왜 화가 7시로 꽂힐까?n재수없는 삐딱한 7시 시계바늘.,0
전라도....제발전라도....,0
쌍도 ㅂㅅ들 존나 미개하지,0
역겹다 전라도 새끼들,0
쌍도새끼들 민주화준거봐라 ㅋㅋㅋㅋ,0
좆라도새끼들 팡주폭도가 방화범이라고 뽀록난기사에 댓글좀 봐야겠다 ㅋㅋ,0
분탕 잼~ 불구경 잼~ 그런데 광주화 버튼 누른 저것들은 진짜 뭐지?,0
전라도인들은 사상이 뼛속부터 다른듯. 저게 인간이 할 짓이냐 ㅋㅋ,0
딱 대한민국이 전라도에 흡수당하면 저럴수있겠다...,0
지역감정? 니 주변에 너에게 좆같은 짓을 한 새끼가 있으면 고향이 어딘지 물어봐라 그리고 공통점을 찾아라 그럼 그게 지역감정이야,0
조선시대 양반 - 전라도경상도 - 천민집단반박시 경상도,0
"왜그러냐면 개쌍도새끼들은 매신져로 글쓸때도 표준으로쓰면 줫나 오글거려서 어쩔수없이 사투리를 섞는다 예를들면 누구한테 학교갔는지 물어볼따 ""학교갔어? 학교갔니?"" 이딴식으로쓰면 존나 견딜수없음 그래서 ""학교갔나?"" 이렇게 개쌍도말이 메신져에서도 나오는거",0
키아! 홍어들 통수맞은 기분!,0
이런글 재미도없고 홍어들이 불의도시다 통구이다이지랄 떠니까 올리지마라,0
사실 백제는 충청도 아니냐??,0
전라도의 알흠다운 미풍양속,0
머구잼.....,0
ㅋㅋㅋㅋㅋㅋ이러니까 쌍도가 지 병신인거모르는병싱이라그러지ㅋㅋㅋㅋ진짜 홍어나 과메기나 한양에선 다 병신,0
즌..라..도..,0
쌍도 새끼들 극혐ㅋㅋ 홍어들만 지들 싫어하는줄암ㅋㅋ,0
"인정한다,,,,쉬부레,,,,홍어,,쉐리덜,,,,",0
경상도 미개하다 우리모두 인천으로 옵시다 경제수도 인천~,0
대구의 인건비는 최하위라 난민도 거르는 실정,0
충청도 뒷통수도 얼얼허노...,0
여자는 경상도보다 전라도가 이쁨 ㅋㅋ,0
첫줄 읽자마자 전라도 냄새나서 ㅁㅈㅎ,0
전라도가 아닌게 더 신기,0
홍어들의 고향세탁 기술은 LG 드럼세탁기 수준입니다.,0
시발 전라도턱 보소 ㅋㅋ,0
아니 공동명의 를 왜하냐 부부 라도 재산 은 확실히 따져야지 아니 엄밀히 따지고 보면 남남 이야 요즘시대에 무슨....어떤일을 할때는 최악의 경우를 항상 생각하고 해야 뒤탈이 없는거야 아니 왜 자기 돈을 여자한테 주냐 미친거 아니냐,0
전라도 개새끼들은 학살만이 답이다,0
쌍도부심 ㅁㅈㅎ 병신아 이와중에도 홍어야갤새끼들 풀발기하노 ㅋㅋ,0
밤 12시 ~ 2시까지가 홍어새끼들 제일 많은거같음ㅋㅋ 이시간대가 딱 모이는 시간대냐?,0
ㅇㅂ 홍어새끼들은 한국에서 썩 꺼져라,0
군대 맞선임 광주새끼였는대 랑께~ 참 많이씀,0
좆라도로 도망가,0
홍어새끼들 신나서 얼씨구나하고 ㅇㅂ 주네 미친넘들 어휴,0
라도나 개쌍도나,0
전국 맘카페 세무조사해야합니다. 특히 제주맘 1순위로 하시길,0
전형적인 홍어상은 존나 무장공비처럼 생기지않았냐? 힘 좀 꽤나 쓸거같은 인상,0
광주자택에서 체포,0
지금 방송중인데 술집 호스티스가 제보함ㅋㅋ박유천 같은 케이스일 확률 518%ㅋㅋㅋ역시 명불허전 우파이스ㅋㅋ,0
"ㄹㅇ 전라도애들 돈에 굉장히 민감하고 돈앞에서 의리없고 호의앞에서 의리없다 정말 한국사람 맞는지 의문이 생길정도로 정,의리란게 없음",0
전라도가 주요 공직 차지해서 각종 만행을 저지르는데 누가 곱게 보냐???검찰 꼬라지 봐 문재앙 정권 좌파의 구린 걸 덮기 위해 발악하는 전라도 검사들 봐라이상한 판결 내리는 판사도 전라도고 빨갱이들도 전라도가 졸라게 많고 매국질 하는 쓰레기들도 전라도가 다수고조국 열렬히 지지하고 문재앙민주당 공산독재 부정선거 쳐빨던 미친 지역이 전라도잖아,0
그 시점까지 기다린 뒤에 ㄹㅇ 518때 홍어 잡듯이 진압해야 됨.노동력 부족한 이상 사람이 필요하긴 한데 한국에 온 이상 지금 우리 사회에 그들이 녹아야지근데 그러지 않고 그들만의 동네를 만들고 있음. 지금은 그쪽에서도 공격하지 않고 있으니 명분이 없다만 언젠가 걔네들도 대가리수 어느 정도 찼다 싶으면 폭동 일으킬건데 그때가 명분도 살고 시기적으로도 딱임,0
슨상금 사냥꾼 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
캬 역시 애국보수의 성지 대구답다! 대한민국 3대부촌 중 하나 대구!! 대구 까지 마라 대구 까면 무조건 홍어다 이니!,0
쌍도가 원래 민도가 낮음...,0
개쌍디언 전라디언뭔가 발음은 경상도 욕이.더 심한 것 같은데딱 봐도 전라디언은 그 자체,0
머구 공무원들이 얼마나 썩어빠졌길래,0
통수 일발 장전이노? 홍어새끼들 믿을 수가 있어야지,0
전라도의 진골홍어가 목포듯이 개쌍도의 진골 통구이는 대구 달서구다.맨날 저기는 사건사고가 터지며 존나 가난한동네이자 얼굴형과 말투 성격이 너무 비슷하다.,0
전라도 놈들이 다 해쳐먹는구나..,0
홍어 새끼 말을 고대로 믿노 ?안철수 찍는다고 하고 문재인 찍음 ㅅㄱ,0
어제 올라온걸 바로 또 올린게 더 소름이야 씨팔앰뒤 노양심 홍어같은년 ㅁㅈㅎ,0
일베에도 홍어가 왜이리 많노,0
"그래서 딱히 전문적인 기술도 필요 없고 상급자나 상관 똥꼬 빨아주는거랑 애새끼 쪼아대고 갈궈대는게 일상인 원,상사급 육군 부사관들 중에 홍어가 많제. 내가 있던 기보대대의 경우엔 대대에 120명에 달하는 부사관들 집합하면 그 중에 40% 가량이 홍어였다.",0
하여튼 선거때마다 김부겸 밀어주는 조뼝신 통구이수준,0
역시 외국계 기업이라 왜 [저 땅]에 대형마트가 없는 건지 모르는군 ㅋㅋㅋㅋㅋ물건은 돈을 내고 구입하는 게 아니라몰래 훔쳐오는 것이라는 생각이 보편적으로 자리잡은 지역이 바로 전라도인데 저기에 대형마트를? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
너네들 기독교가 보수라고 떠드는 거 속지마라가보면 죄다 전라도다경상도 몇명 앞에 세워두고 실제는 죄다 전라도다,0
전라도언니? ㅁㅈㅎ,0
문재인과 전라도거지들 척살,0
이게 경상도 사람들 평균이구나 그래서 다들 경상도사람만보면 시끄럽고 뭔가 피해의식이 가득하다고들 말하는데,0
"경상도 포항,부산 이쪽에서 당한거구만",0
일반적인 표준말쓰는 마계사람으로써 사투리가 거슬린다는생각은 안해봄성격이 병신인거지,0
아닙니다 아닙니다 이거 다 그짓말입니다저거 다 전라도 뱁니다,0
대구 평균 ㅋㅋ,0
이영자 멍청도더 멍청한 놈은 ㅁㅈㅎ,0
저걸 청와대나 광화문가서 해야지 왜 촌동네에서 저러고있냐? 별 병신을 다보겠네,0
아따 시조새파킹했노이련아ㅋㅋ 쌍도머 그남이노 아즉 재기 안했다노?,0
경상도가 병신이라면전라도는 개병신일쁀임 ㅇㅇ,0
쌍도부심 좆같지만 갓카홈그라운드 닥ㅇㅂ,0
